Name,Career Stats,Test Runs,ODI Runs,T20 Runs,Total Runs,Test Matches,ODI Matches,T20 Matches
Shubman Gill,"{'Test': {'Matches': '33', 'Innings': '61', 'Runs': '3402', 'Average': '36.57', 'Strike Rate': '5'}, 'ODI': {'Matches': '55', 'Innings': '55', 'Runs': '2787', 'Average': '59.04', 'Strike Rate': '8'}, 'T20': {'Matches': '21', 'Innings': '21', 'Runs': '415', 'Average': '30.42', 'Strike Rate': '2'}, 'IPL': {'Matches': '118', 'Innings': '115', 'Runs': '2787', 'Average': '39.45', 'Strike Rate': '17'}}",3402,2787,415,6604,33,55,21
Yashasvi Jaiswal,"{'Test': {'Matches': '20', 'Innings': '38', 'Runs': '2908', 'Average': '52.86', 'Strike Rate': '2'}, 'ODI': {'Matches': '1', 'Innings': '1', 'Runs': '22', 'Average': '15', 'Strike Rate': '0'}, 'T20': {'Matches': '23', 'Innings': '22', 'Runs': '440', 'Average': '36.15', 'Strike Rate': '2'}, 'IPL': {'Matches': '66', 'Innings': '66', 'Runs': '1417', 'Average': '34.38', 'Strike Rate': '3'}}",2908,22,440,3370,20,1,23
Sai Sudharsan,"{'Test': {'Matches': '1', 'Innings': '2', 'Runs': '52', 'Average': '15', 'Strike Rate': '0'}, 'ODI': {'Matches': '3', 'Innings': '3', 'Runs': '142', 'Average': '63.5', 'Strike Rate': '1'}, 'T20': {'Matches': '1', 'Innings': '0', 'Runs': '0', 'Average': '0', 'Strike Rate': '0'}, 'IPL': {'Matches': '40', 'Innings': '40', 'Runs': '1229', 'Average': '49.81', 'Strike Rate': '4'}}",52,142,0,194,1,3,1
Rohit Sharma,"{'Test': {'Matches': '67', 'Innings': '116', 'Runs': '7538', 'Average': '40.58', 'Strike Rate': '10'}, 'ODI': {'Matches': '273', 'Innings': '265', 'Runs': '12034', 'Average': '48.77', 'Strike Rate': '36'}, 'T20': {'Matches': '159', 'Innings': '151', 'Runs': '3003', 'Average': '31.34', 'Strike Rate': '16'}, 'IPL': {'Matches': '272', 'Innings': '267', 'Runs': '5334', 'Average': '29.73', 'Strike Rate': '30'}}",7538,12034,3003,22575,67,273,159
Virat Kohli,"{'Test': {'Matches': '123', 'Innings': '210', 'Runs': '16608', 'Average': '46.85', 'Strike Rate': '13'}, 'ODI': {'Matches': '302', 'Innings': '290', 'Runs': '15192', 'Average': '57.88', 'Strike Rate': '45'}, 'T20': {'Matches': '125', 'Innings': '117', 'Runs': '3056', 'Average': '48.7', 'Strike Rate': '31'}, 'IPL': {'Matches': '267', 'Innings': '259', 'Runs': '6519', 'Average': '39.55', 'Strike Rate': '40'}}",16608,15192,3056,34856,123,302,125
Suryakumar Yadav,"{'Test': {'Matches': '1', 'Innings': '1', 'Runs': '20', 'Average': '8', 'Strike Rate': '0'}, 'ODI': {'Matches': '37', 'Innings': '35', 'Runs': '736', 'Average': '25.77', 'Strike Rate': '5'}, 'T20': {'Matches': '83', 'Innings': '79', 'Runs': '1555', 'Average': '38.21', 'Strike Rate': '11'}, 'IPL': {'Matches': '166', 'Innings': '151', 'Runs': '2900', 'Average': '35.05', 'Strike Rate': '28'}}",20,736,1555,2311,1,37,83
Shreyas Iyer,"{'Test': {'Matches': '14', 'Innings': '24', 'Runs': '1287', 'Average': '36.86', 'Strike Rate': '2'}, 'ODI': {'Matches': '70', 'Innings': '65', 'Runs': '2845', 'Average': '48.22', 'Strike Rate': '6'}, 'T20': {'Matches': '51', 'Innings': '47', 'Runs': '811', 'Average': '30.67', 'Strike Rate': '11'}, 'IPL': {'Matches': '132', 'Innings': '132', 'Runs': '2798', 'Average': '34.23', 'Strike Rate': '23'}}",1287,2845,811,4943,14,70,51
Rinku Singh,"{'Test': {'Matches': '0', 'Innings': '0', 'Runs': '0', 'Average': '0', 'Strike Rate': '0'}, 'ODI': {'Matches': '2', 'Innings': '2', 'Runs': '41', 'Average': '27.5', 'Strike Rate': '0'}, 'T20': {'Matches': '33', 'Innings': '24', 'Runs': '339', 'Average': '42', 'Strike Rate': '11'}, 'IPL': {'Matches': '58', 'Innings': '51', 'Runs': '757', 'Average': '30.53', 'Strike Rate': '15'}}",0,41,339,380,0,2,33
Tilak Varma,"{'Test': {'Matches': '0', 'Innings': '0', 'Runs': '0', 'Average': '0', 'Strike Rate': '0'}, 'ODI': {'Matches': '4', 'Innings': '4', 'Runs': '119', 'Average': '22.67', 'Strike Rate': '1'}, 'T20': {'Matches': '25', 'Innings': '24', 'Runs': '483', 'Average': '49.93', 'Strike Rate': '9'}, 'IPL': {'Matches': '54', 'Innings': '51', 'Runs': '1038', 'Average': '37.48', 'Strike Rate': '11'}}",0,119,483,602,0,4,25
Ruturaj Gaikwad,"{'Test': {'Matches': '0', 'Innings': '0', 'Runs': '0', 'Average': '0', 'Strike Rate': '0'}, 'ODI': {'Matches': '6', 'Innings': '6', 'Runs': '157', 'Average': '19.17', 'Strike Rate': '0'}, 'T20': {'Matches': '23', 'Innings': '20', 'Runs': '441', 'Average': '39.56', 'Strike Rate': '4'}, 'IPL': {'Matches': '71', 'Innings': '70', 'Runs': '1820', 'Average': '40.35', 'Strike Rate': '8'}}",0,157,441,598,0,6,23
Rajat Patidar,"{'Test': {'Matches': '3', 'Innings': '6', 'Runs': '164', 'Average': '10.5', 'Strike Rate': '0'}, 'ODI': {'Matches': '1', 'Innings': '1', 'Runs': '16', 'Average': '22', 'Strike Rate': '0'}, 'T20': {'Matches': '0', 'Innings': '0', 'Runs': '0', 'Average': '0', 'Strike Rate': '0'}, 'IPL': {'Matches': '42', 'Innings': '38', 'Runs': '720', 'Average': '30.86', 'Strike Rate': '2'}}",164,16,0,180,3,1,0
Sarfaraz Khan,"{'Test': {'Matches': '6', 'Innings': '11', 'Runs': '495', 'Average': '37.1', 'Strike Rate': '1'}, 'ODI': {'Matches': '0', 'Innings': '0', 'Runs': '0', 'Average': '0', 'Strike Rate': '0'}, 'T20': {'Matches': '0', 'Innings': '0', 'Runs': '0', 'Average': '0', 'Strike Rate': '0'}, 'IPL': {'Matches': '50', 'Innings': '37', 'Runs': '448', 'Average': '22.5', 'Strike Rate': '11'}}",495,0,0,495,6,0,0
Abhimanyu Easwaran,"{'Test': {'Matches': '0', 'Innings': '0', 'Runs': '0', 'Average': '0', 'Strike Rate': '0'}, 'ODI': {'Matches': '0', 'Innings': '0', 'Runs': '0', 'Average': '0', 'Strike Rate': '0'}, 'T20': {'Matches': '0', 'Innings': '0', 'Runs': '0', 'Average': '0', 'Strike Rate': '0'}, 'IPL': {'Matches': '0', 'Innings': '0', 'Runs': '0', 'Average': '0', 'Strike Rate': '0'}}",0,0,0,0,0,0,0
Karun Nair,"{'Test': {'Matches': '7', 'Innings': '9', 'Runs': '564', 'Average': '49.25', 'Strike Rate': '1'}, 'ODI': {'Matches': '2', 'Innings': '2', 'Runs': '88', 'Average': '23', 'Strike Rate': '0'}, 'T20': {'Matches': '0', 'Innings': '0', 'Runs': '0', 'Average': '0', 'Strike Rate': '0'}, 'IPL': {'Matches': '84', 'Innings': '76', 'Runs': '1286', 'Average': '23.86', 'Strike Rate': '5'}}",564,88,0,652,7,2,0
Nitish Kumar Reddy,"{'Test': {'Matches': '5', 'Innings': '9', 'Runs': '464', 'Average': '37.25', 'Strike Rate': '1'}, 'ODI': {'Matches': '0', 'Innings': '0', 'Runs': '0', 'Average': '0', 'Strike Rate': '0'}, 'T20': {'Matches': '4', 'Innings': '3', 'Runs': '50', 'Average': '45', 'Strike Rate': '1'}, 'IPL': {'Matches': '28', 'Innings': '22', 'Runs': '365', 'Average': '28.53', 'Strike Rate': '5'}}",464,0,50,514,5,0,4
Hardik Pandya,"{'Test': {'Matches': '11', 'Innings': '18', 'Runs': '720', 'Average': '31.29', 'Strike Rate': '1'}, 'ODI': {'Matches': '94', 'Innings': '68', 'Runs': '1717', 'Average': '32.83', 'Strike Rate': '10'}, 'T20': {'Matches': '114', 'Innings': '90', 'Runs': '1279', 'Average': '27.88', 'Strike Rate': '25'}, 'IPL': {'Matches': '152', 'Innings': '140', 'Runs': '1871', 'Average': '28.34', 'Strike Rate': '43'}}",720,1717,1279,3716,11,94,114
Shivam Dube,"{'Test': {'Matches': '0', 'Innings': '0', 'Runs': '0', 'Average': '0', 'Strike Rate': '0'}, 'ODI': {'Matches': '4', 'Innings': '4', 'Runs': '48', 'Average': '10.75', 'Strike Rate': '0'}, 'T20': {'Matches': '35', 'Innings': '26', 'Runs': '379', 'Average': '31.24', 'Strike Rate': '9'}, 'IPL': {'Matches': '79', 'Innings': '75', 'Runs': '1294', 'Average': '30.48', 'Strike Rate': '14'}}",0,48,379,427,0,4,35
Abhishek Sharma,"{'Test': {'Matches': '0', 'Innings': '0', 'Runs': '0', 'Average': '0', 'Strike Rate': '0'}, 'ODI': {'Matches': '0', 'Innings': '0', 'Runs': '0', 'Average': '0', 'Strike Rate': '0'}, 'T20': {'Matches': '17', 'Innings': '16', 'Runs': '276', 'Average': '33.44', 'Strike Rate': '0'}, 'IPL': {'Matches': '77', 'Innings': '74', 'Runs': '1114', 'Average': '27.09', 'Strike Rate': '7'}}",0,0,276,276,0,0,17
Ravindra Jadeja,"{'Test': {'Matches': '81', 'Innings': '120', 'Runs': '6155', 'Average': '34.76', 'Strike Rate': '22'}, 'ODI': {'Matches': '204', 'Innings': '137', 'Runs': '3284', 'Average': '32.63', 'Strike Rate': '51'}, 'T20': {'Matches': '74', 'Innings': '41', 'Runs': '405', 'Average': '21.46', 'Strike Rate': '17'}, 'IPL': {'Matches': '254', 'Innings': '198', 'Runs': '2503', 'Average': '27.86', 'Strike Rate': '81'}}",6155,3284,405,9844,81,204,74
Shardul Thakur,"{'Test': {'Matches': '12', 'Innings': '20', 'Runs': '542', 'Average': '17.68', 'Strike Rate': '1'}, 'ODI': {'Matches': '47', 'Innings': '25', 'Runs': '313', 'Average': '17.32', 'Strike Rate': '6'}, 'T20': {'Matches': '25', 'Innings': '6', 'Runs': '38', 'Average': '23', 'Strike Rate': '3'}, 'IPL': {'Matches': '105', 'Innings': '42', 'Runs': '233', 'Average': '11.61', 'Strike Rate': '14'}}",542,313,38,893,12,47,25
Washington Sundar,"{'Test': {'Matches': '9', 'Innings': '16', 'Runs': '1020', 'Average': '42.55', 'Strike Rate': '5'}, 'ODI': {'Matches': '23', 'Innings': '15', 'Runs': '394', 'Average': '23.5', 'Strike Rate': '1'}, 'T20': {'Matches': '54', 'Innings': '22', 'Runs': '159', 'Average': '13.79', 'Strike Rate': '8'}, 'IPL': {'Matches': '66', 'Innings': '45', 'Runs': '405', 'Average': '15.97', 'Strike Rate': '13'}}",1020,394,159,1573,9,23,54
Axar Patel,"{'Test': {'Matches': '14', 'Innings': '22', 'Runs': '1235', 'Average': '35.89', 'Strike Rate': '4'}, 'ODI': {'Matches': '68', 'Innings': '47', 'Runs': '856', 'Average': '22.37', 'Strike Rate': '12'}, 'T20': {'Matches': '71', 'Innings': '44', 'Runs': '384', 'Average': '18.45', 'Strike Rate': '15'}, 'IPL': {'Matches': '162', 'Innings': '124', 'Runs': '1430', 'Average': '22.02', 'Strike Rate': '37'}}",1235,856,384,2475,14,68,71
Rishabh Pant,"{'Test': {'Matches': '44', 'Innings': '77', 'Runs': '4323', 'Average': '44.44', 'Strike Rate': '5'}, 'ODI': {'Matches': '31', 'Innings': '27', 'Runs': '820', 'Average': '33.5', 'Strike Rate': '1'}, 'T20': {'Matches': '76', 'Innings': '66', 'Runs': '949', 'Average': '23.25', 'Strike Rate': '14'}, 'IPL': {'Matches': '125', 'Innings': '123', 'Runs': '2407', 'Average': '34.16', 'Strike Rate': '19'}}",4323,820,949,6092,44,31,76
KL Rahul,"{'Test': {'Matches': '59', 'Innings': '103', 'Runs': '6493', 'Average': '34.71', 'Strike Rate': '4'}, 'ODI': {'Matches': '85', 'Innings': '79', 'Runs': '3451', 'Average': '49.08', 'Strike Rate': '17'}, 'T20': {'Matches': '72', 'Innings': '68', 'Runs': '1628', 'Average': '37.75', 'Strike Rate': '8'}, 'IPL': {'Matches': '145', 'Innings': '136', 'Runs': '3839', 'Average': '46.21', 'Strike Rate': '23'}}",6493,3451,1628,11572,59,85,72
Dhruv Jurel,"{'Test': {'Matches': '4', 'Innings': '6', 'Runs': '380', 'Average': '40.4', 'Strike Rate': '1'}, 'ODI': {'Matches': '0', 'Innings': '0', 'Runs': '0', 'Average': '0', 'Strike Rate': '0'}, 'T20': {'Matches': '4', 'Innings': '3', 'Runs': '23', 'Average': '4', 'Strike Rate': '0'}, 'IPL': {'Matches': '41', 'Innings': '35', 'Runs': '442', 'Average': '28.33', 'Strike Rate': '11'}}",380,0,23,403,4,0,4
Sanju Samson,"{'Test': {'Matches': '0', 'Innings': '0', 'Runs': '0', 'Average': '0', 'Strike Rate': '0'}, 'ODI': {'Matches': '16', 'Innings': '14', 'Runs': '512', 'Average': '56.67', 'Strike Rate': '5'}, 'T20': {'Matches': '42', 'Innings': '38', 'Runs': '565', 'Average': '25.32', 'Strike Rate': '4'}, 'IPL': {'Matches': '176', 'Innings': '172', 'Runs': '3383', 'Average': '30.75', 'Strike Rate': '19'}}",0,512,565,1077,0,16,42
Ishan Kishan,"{'Test': {'Matches': '2', 'Innings': '3', 'Runs': '91', 'Average': '78', 'Strike Rate': '2'}, 'ODI': {'Matches': '27', 'Innings': '24', 'Runs': '913', 'Average': '42.41', 'Strike Rate': '2'}, 'T20': {'Matches': '32', 'Innings': '32', 'Runs': '640', 'Average': '25.68', 'Strike Rate': '1'}, 'IPL': {'Matches': '119', 'Innings': '112', 'Runs': '2178', 'Average': '29.11', 'Strike Rate': '9'}}",91,913,640,1644,2,27,32
Mohammed Siraj,"{'Test': {'Matches': '37', 'Innings': '51', 'Runs': '364', 'Average': '4.79', 'Strike Rate': '23'}, 'ODI': {'Matches': '44', 'Innings': '17', 'Runs': '129', 'Average': '7.86', 'Strike Rate': '10'}, 'T20': {'Matches': '16', 'Innings': '5', 'Runs': '16', 'Average': '7', 'Strike Rate': '3'}, 'IPL': {'Matches': '108', 'Innings': '26', 'Runs': '123', 'Average': '11.2', 'Strike Rate': '16'}}",364,129,16,509,37,44,16
Jasprit Bumrah,"{'Test': {'Matches': '46', 'Innings': '71', 'Runs': '748', 'Average': '6.78', 'Strike Rate': '22'}, 'ODI': {'Matches': '89', 'Innings': '26', 'Runs': '159', 'Average': '7.58', 'Strike Rate': '14'}, 'T20': {'Matches': '70', 'Innings': '8', 'Runs': '14', 'Average': '2.67', 'Strike Rate': '5'}, 'IPL': {'Matches': '145', 'Innings': '31', 'Runs': '79', 'Average': '9.71', 'Strike Rate': '24'}}",748,159,14,921,46,89,70
Prasidh Krishna,"{'Test': {'Matches': '4', 'Innings': '7', 'Runs': '41', 'Average': '1.25', 'Strike Rate': '3'}, 'ODI': {'Matches': '17', 'Innings': '7', 'Runs': '17', 'Average': '1', 'Strike Rate': '5'}, 'T20': {'Matches': '5', 'Innings': '0', 'Runs': '0', 'Average': '0', 'Strike Rate': '0'}, 'IPL': {'Matches': '66', 'Innings': '10', 'Runs': '24', 'Average': '3', 'Strike Rate': '7'}}",41,17,0,58,4,17,5
Akash Deep,"{'Test': {'Matches': '7', 'Innings': '10', 'Runs': '168', 'Average': '8.3', 'Strike Rate': '0'}, 'ODI': {'Matches': '0', 'Innings': '0', 'Runs': '0', 'Average': '0', 'Strike Rate': '0'}, 'T20': {'Matches': '0', 'Innings': '0', 'Runs': '0', 'Average': '0', 'Strike Rate': '0'}, 'IPL': {'Matches': '14', 'Innings': '5', 'Runs': '14', 'Average': '8.33', 'Strike Rate': '2'}}",168,0,0,168,7,0,0
Kuldeep Yadav,"{'Test': {'Matches': '13', 'Innings': '17', 'Runs': '698', 'Average': '13.27', 'Strike Rate': '2'}, 'ODI': {'Matches': '113', 'Innings': '42', 'Runs': '407', 'Average': '9.86', 'Strike Rate': '21'}, 'T20': {'Matches': '40', 'Innings': '7', 'Runs': '59', 'Average': '11.5', 'Strike Rate': '3'}, 'IPL': {'Matches': '98', 'Innings': '38', 'Runs': '232', 'Average': '13.4', 'Strike Rate': '23'}}",698,407,59,1164,13,113,40
Arshdeep Singh,"{'Test': {'Matches': '0', 'Innings': '0', 'Runs': '0', 'Average': '0', 'Strike Rate': '0'}, 'ODI': {'Matches': '9', 'Innings': '6', 'Runs': '35', 'Average': '7.8', 'Strike Rate': '1'}, 'T20': {'Matches': '63', 'Innings': '21', 'Runs': '61', 'Average': '8.88', 'Strike Rate': '13'}, 'IPL': {'Matches': '82', 'Innings': '14', 'Runs': '46', 'Average': '5.17', 'Strike Rate': '8'}}",0,35,61,96,0,9,63
Harshit Rana,"{'Test': {'Matches': '2', 'Innings': '3', 'Runs': '20', 'Average': '2.33', 'Strike Rate': '0'}, 'ODI': {'Matches': '5', 'Innings': '1', 'Runs': '10', 'Average': '13', 'Strike Rate': '0'}, 'T20': {'Matches': '1', 'Innings': '0', 'Runs': '0', 'Average': '0', 'Strike Rate': '0'}, 'IPL': {'Matches': '33', 'Innings': '10', 'Runs': '56', 'Average': '9.83', 'Strike Rate': '4'}}",20,10,0,30,2,5,1
Ravi Bishnoi,"{'Test': {'Matches': '0', 'Innings': '0', 'Runs': '0', 'Average': '0', 'Strike Rate': '0'}, 'ODI': {'Matches': '1', 'Innings': '1', 'Runs': '2', 'Average': '0', 'Strike Rate': '1'}, 'T20': {'Matches': '42', 'Innings': '13', 'Runs': '42', 'Average': '7.86', 'Strike Rate': '6'}, 'IPL': {'Matches': '77', 'Innings': '18', 'Runs': '66', 'Average': '4.5', 'Strike Rate': '8'}}",0,2,42,44,0,1,42
Mukesh Kumar,"{'Test': {'Matches': '3', 'Innings': '4', 'Runs': '6', 'Average': '0', 'Strike Rate': '3'}, 'ODI': {'Matches': '6', 'Innings': '2', 'Runs': '16', 'Average': '10', 'Strike Rate': '1'}, 'T20': {'Matches': '17', 'Innings': '4', 'Runs': '5', 'Average': '5', 'Strike Rate': '3'}, 'IPL': {'Matches': '32', 'Innings': '5', 'Runs': '18', 'Average': '10', 'Strike Rate': '4'}}",6,16,5,27,3,6,17
Varun Chakaravarthy,"{'Test': {'Matches': '0', 'Innings': '0', 'Runs': '0', 'Average': '0', 'Strike Rate': '0'}, 'ODI': {'Matches': '4', 'Innings': '0', 'Runs': '0', 'Average': '0', 'Strike Rate': '0'}, 'T20': {'Matches': '18', 'Innings': '3', 'Runs': '6', 'Average': '0.5', 'Strike Rate': '1'}, 'IPL': {'Matches': '83', 'Innings': '13', 'Runs': '47', 'Average': '6.5', 'Strike Rate': '9'}}",0,0,6,6,0,4,18
